Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Design e Marketing de Moda,9499,Licenciatura,92,Sim,6,"6,5",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,"Escola Superior de Comunicação, Administração e Turismo de Mirandela",3045,Público,Politécnico,Tecnologias da Comunicação,9247,Licenciatura,46,Sim,3,"6,5",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Instituto Superior de Contabilidade e Administração de Lisboa,3117,Público,Politécnico,Contabilidade e Administração,9058,Licenciatura,807,Sim,53,"6,5",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Ciências Empresariais,3153,Público,Politécnico,Gestão da Distribuição e da Logística,9629,Licenciatura,198,Sim,13,"6,5",2009/10_2012/13,DGES
Instituto Superior de Educação e Ciências,4298,Instituto Superior de Educação e Ciências,4298,Privado,Politécnico,Ciências Aeronáuticas,9021,Licenciatura,31,Sim,2,"6,5",2009/10_2012/13,DGEEC
ISCTE - Instituto Universitário de Lisboa,6800,ISCTE - Instituto Universitário de Lisboa,6800,Público,Universitário,Gestão de Marketing,9156,Licenciatura,138,Sim,9,"6,5",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Ciências do Desporto e Educação Física,508,Público,Universitário,Ciências do Desporto,9707,Licenciatura,358,Sim,23,"6,4",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Biologia-Geologia,9689,Licenciatura,109,Sim,7,"6,4",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Matemática,9209,Licenciatura,124,Sim,8,"6,4",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Instituto Superior de Engenharia de Lisboa,3118,Público,Politécnico,Engenharia Mecânica,9123,Licenciatura,405,Sim,26,"6,4",2009/10_2012/13,DGES
