Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Instituto Superior de Educação e Ciências,4298,Instituto Superior de Educação e Ciências,4298,Privado,Politécnico,Engenharia da Segurança do Trabalho,8187,Licenciatura,126,Sim,7,"5,6",2009/10_2012/13,DGEEC
Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,903,Público,Universitário,Bioquímica,9015,Licenciatura,181,Sim,10,"5,5",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Engenharia de Materiais,9363,Mestrado Integrado,54,Sim,3,"5,5",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Motricidade Humana,1510,Público,Universitário,Ciências do Desporto,9707,Licenciatura,395,Sim,22,"5,5",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia Biológica,9358,Mestrado Integrado,143,Sim,8,"5,5",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia do Ambiente,9508,Mestrado Integrado,90,Sim,5,"5,5",2009/10_2012/13,DGES
Escola Superior de Saúde do Alcoitão,4105,Escola Superior de Saúde do Alcoitão,4105,Privado,Politécnico,Terapia Ocupacional,8138,Licenciatura,164,Sim,9,"5,5",2009/10_2012/13,DGEEC
Instituto Superior de Educação e Ciências,4298,Instituto Superior de Educação e Ciências,4298,Privado,Politécnico,Gestão Hoteleira,9173,Licenciatura,73,Sim,4,"5,5",2009/10_2012/13,DGEEC
Instituto Superior de Gestão Bancária,4305,Instituto Superior de Gestão Bancária,4305,Privado,Politécnico,Gestão Bancária,9646,Licenciatura,400,Sim,22,"5,5",2009/10_2012/13,DGEEC
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Engenharia de Computadores e Telemática,9361,Mestrado Integrado,128,Sim,7,"5,4",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Ciências da Computação,9397,Licenciatura,91,Sim,5,"5,4",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Ciência de Computadores,9696,Licenciatura,73,Sim,4,"5,4",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia Mecânica,9369,Mestrado Integrado,333,Sim,18,"5,4",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Tecnologia de Castelo Branco,3053,Público,Politécnico,Tecnologias da Informação e Multimédia,9248,Licenciatura,74,Sim,4,"5,4",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Educação e Ciências Sociais,3101,Público,Politécnico,Tradução e Interpretação: Português/Chinês - Chinês/Português,9492,Licenciatura,37,Sim,2,"5,4",2009/10_2012/13,DGES
Instituto Superior de Estudos Interculturais e Transdisciplinares - Almada,4306,Instituto Superior de Estudos Interculturais e Transdisciplinares - Almada,4306,Privado,Universitário,Gestão,9147,Licenciatura,37,Sim,2,"5,4",2009/10_2012/13,DGEEC
Instituto Superior Miguel Torga,4500,Instituto Superior Miguel Torga,4500,Privado,Universitário,Gestão,9147,Licenciatura,56,Sim,3,"5,4",2009/10_2012/13,DGEEC
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Engenharia Mecânica,9369,Mestrado Integrado,204,Sim,11,"5,3",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Química Tecnológica,9226,Licenciatura,56,Sim,3,"5,3",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Artes Aplicadas de Castelo Branco,3055,Público,Politécnico,"Música, variante de Instrumento",9784,Licenciatura,56,Sim,3,"5,3",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Escola Superior Agrária de Coimbra,3061,Público,Politécnico,Biotecnologia,9016,Licenciatura,130,Sim,7,"5,3",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Ciências Empresariais,3153,Público,Politécnico,Contabilidade e Finanças,9627,Licenciatura,371,Sim,20,"5,3",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Bioquímica,9015,Licenciatura,96,Sim,5,"5,2",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Optometria e Ciências da Visão,8184,Licenciatura,228,Sim,12,"5,2",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Geologia,9146,Licenciatura,57,Sim,3,"5,2",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Medicina Veterinária,1509,Público,Universitário,Medicina Veterinária,9847,Mestrado Integrado,345,Sim,18,"5,2",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Engenharia Geográfica,9115,Licenciatura,77,Sim,4,"5,1",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Engenharia Biomédica e Biofísica,9845,Mestrado Integrado,39,Sim,2,"5,1",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Escola Superior de Comunicação Social,3113,Público,Politécnico,Relações Públicas e Comunicação Empresarial,9231,Licenciatura,174,Sim,9,"5,1",2009/10_2012/13,DGES
Instituto Superior de Ciências da Administração,4275,Instituto Superior de Ciências da Administração,4275,Privado,Politécnico,Contabilidade e Administração,9058,Licenciatura,117,Sim,6,"5,1",2009/10_2012/13,DGEEC
Instituto Superior de Línguas e Administração de Leiria,4354,Instituto Superior de Línguas e Administração de Leiria,4354,Privado,Universitário,Gestão de Recursos Humanos,9157,Licenciatura,39,Sim,2,"5,1",2009/10_2012/13,DGEEC
Universidade do Algarve,200,Faculdade de Ciências e Tecnologia,203,Público,Universitário,Biologia Marinha,9013,Licenciatura,99,Sim,5,5,2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Biologia Aplicada,9688,Licenciatura,177,Sim,9,5,2009/10_2012/13,DGES
Universidade Aberta,1400,Universidade Aberta,1400,Público,Universitário,Educação,9353,Licenciatura,318,Sim,16,5,2009/10_2012/13,DGEEC/DGES
Universidade Aberta,1400,Universidade Aberta,1400,Público,Universitário,Ciências Sociais,9712,Licenciatura,965,Sim,48,5,2009/10_2012/13,DGEEC/DGES
Universidade Autónoma de Lisboa Luís de Camões,2100,Universidade Autónoma de Lisboa Luís de Camões,2100,Privado,Universitário,Direito,9078,Licenciatura,660,Sim,33,5,2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Escola Superior Politécnica de Saúde (Lisboa),2215,Privado,Politécnico,Enfermagem,9500,Licenciatura,222,Sim,11,5,2009/10_2012/13,DGEEC
Instituto Politécnico de Leiria,3100,Escola Superior de Turismo e Tecnologia do Mar de Peniche,3105,Público,Politécnico,Restauração e Catering,9484,Licenciatura,80,Sim,4,5,2009/10_2012/13,DGES
Instituto Superior de Educação e Ciências,4298,Instituto Superior de Educação e Ciências,4298,Privado,Politécnico,Engenharia da Protecção Civil,8383,Licenciatura,80,Sim,4,5,2009/10_2012/13,DGEEC
Instituto Superior de Gestão Bancária,4305,Instituto Superior de Gestão Bancária,4305,Privado,Politécnico,Gestão e Sistemas de Informação,9647,Licenciatura,40,Sim,2,5,2009/10_2012/13,DGEEC
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Arquitectura Paisagista,8258,Licenciatura,121,Sim,6,"4,9",2009/10_2012/13,DGES
Universidade Aberta,1400,Universidade Aberta,1400,Público,Universitário,Estudos Europeus,9135,Licenciatura,102,Sim,5,"4,9",2009/10_2012/13,DGEEC/DGES
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,Filosofia,9139,Licenciatura,61,Sim,3,"4,9",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Letras,1506,Público,Universitário,Tradução,9252,Licenciatura,121,Sim,6,"4,9",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Economia e Gestão,1517,Público,Universitário,Finanças,9140,Licenciatura,81,Sim,4,"4,9",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Economia e Gestão,1517,Público,Universitário,Gestão,9147,Licenciatura,744,Sim,37,"4,9",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Arquitectura,9257,Mestrado Integrado,181,Sim,9,"4,9",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Instituto Superior de Engenharia de Coimbra,3064,Público,Politécnico,Engenharia e Gestão Industrial,9104,Licenciatura,61,Sim,3,"4,9",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Educação,3151,Público,Politécnico,Educação Básica,9853,Licenciatura,221,Sim,11,"4,9",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Engenharia Física,9368,Mestrado Integrado,62,Sim,3,"4,8",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,903,Público,Universitário,Engenharia Mecânica,9369,Mestrado Integrado,143,Sim,7,"4,8",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,1204,Público,Universitário,Bioquímica,9015,Licenciatura,103,Sim,5,"4,8",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior de Economia e Gestão,1517,Público,Universitário,Economia,9081,Licenciatura,500,Sim,24,"4,8",2009/10_2012/13,DGES
Instituto Politécnico de Castelo Branco,3050,Escola Superior de Educação de Castelo Branco,3052,Público,Politécnico,Secretariado,9485,Licenciatura,82,Sim,4,"4,8",2009/10_2012/13,DGES
Universidade do Algarve,200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Educação Básica,9853,Licenciatura,125,Sim,6,"4,8",2009/10_2012/13,DGES
Instituto Politécnico da Guarda,3090,"Escola Superior de Educação, Comunicação e Desporto",3091,Público,Politécnico,Educação Básica,9853,Licenciatura,83,Sim,4,"4,8",2009/10_2012/13,DGES
Instituto Superior de Estudos Interculturais e Transdisciplinares - Almada,4306,Instituto Superior de Estudos Interculturais e Transdisciplinares - Almada,4306,Privado,Universitário,Psicologia,9219,Licenciatura,83,Sim,4,"4,8",2009/10_2012/13,DGEEC
Instituto Superior Manuel Teixeira Gomes,4375,Instituto Superior Manuel Teixeira Gomes,4375,Privado,Universitário,Educação Física e Desporto,9736,Licenciatura,42,Sim,2,"4,8",2009/10_2012/13,DGEEC
Instituto Politécnico de Viana do Castelo,3160,Escola Superior de Saúde de Viana do Castelo,7075,Público,Politécnico,Enfermagem,9500,Licenciatura,247,Sim,12,"4,8",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Psicologia e de Ciências da Educação,507,Público,Universitário,Ciências da Educação,9026,Licenciatura,230,Sim,11,"4,7",2009/10_2012/13,DGES
Instituto Politécnico de Bragança,3040,Escola Superior de Educação de Bragança,3042,Público,Politécnico,Línguas para Relações Internacionais,8374,Licenciatura,42,Sim,2,"4,7",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Engenharia,1105,Público,Universitário,Engenharia Metalúrgica e de Materiais,9460,Mestrado Integrado,86,Sim,4,"4,6",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Instituto Superior de Engenharia de Coimbra,3064,Público,Politécnico,Engenharia Informática,9119,Licenciatura,279,Sim,13,"4,6",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Saúde de Viseu,7085,Público,Politécnico,Enfermagem,9500,Licenciatura,385,Sim,18,"4,6",2009/10_2012/13,DGES
Escola Superior de Hotelaria e Turismo do Estoril,7110,Escola Superior de Hotelaria e Turismo do Estoril,7110,Público,Politécnico,Direcção e Gestão Hoteleira,9076,Licenciatura,326,Sim,15,"4,6",2009/10_2012/13,DGES
Escola Superior de Hotelaria e Turismo do Estoril,7110,Escola Superior de Hotelaria e Turismo do Estoril,7110,Público,Politécnico,Produção Alimentar em Restauração,9217,Licenciatura,236,Sim,11,"4,6",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Bioquímica,9015,Licenciatura,154,Sim,7,"4,5",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Biotecnologia,9016,Licenciatura,44,Sim,2,"4,5",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Engenharia Informática,9119,Licenciatura,132,Sim,6,"4,5",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Antropologia,9448,Licenciatura,131,Sim,6,"4,5",2009/10_2012/13,DGES
Universidade Católica Portuguesa,2200,Centro Regional das Beiras,2225,Privado,Universitário,Medicina Dentária,9548,Mestrado Integrado,198,Sim,9,"4,5",2009/10_2012/13,DGEEC
Universidade Atlântica,2700,Escola Superior de Saúde Atlântica,2701,Privado,Politécnico,Enfermagem,9500,Licenciatura,176,Sim,8,"4,5",2009/10_2012/13,DGEEC
Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,3152,Público,Politécnico,Tecnologia e Gestão Industrial (regime nocturno),9862,Licenciatura,66,Sim,3,"4,5",2009/10_2012/13,DGES
ISCTE - Instituto Universitário de Lisboa,6800,ISCTE - Instituto Universitário de Lisboa,6800,Público,Universitário,Finanças e Contabilidade,8029,Licenciatura,200,Sim,9,"4,5",2009/10_2012/13,DGES
Escola Superior Náutica Infante D. Henrique,7105,Escola Superior Náutica Infante D. Henrique,7105,Público,Politécnico,Gestão Portuária,9926,Licenciatura,44,Sim,2,"4,5",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Música,9214,Licenciatura,157,Sim,7,"4,4",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Engenharia Biomédica,9359,Mestrado Integrado,178,Sim,8,"4,4",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,1203,Público,Universitário,Engenharia Biomédica,9455,Licenciatura,45,Sim,2,"4,4",2009/10_2012/13,DGES
Universidade do Algarve,200,"Escola Superior de Gestão, Hotelaria e Turismo",3082,Público,Politécnico,Assessoria de Administração (regime nocturno),9008,Licenciatura,113,Sim,5,"4,4",2009/10_2012/13,DGES
Instituto Politécnico de Santarém,3140,Escola Superior de Educação de Santarém,3142,Público,Politécnico,Educação Básica,9853,Licenciatura,202,Sim,9,"4,4",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,7220,Público,Politécnico,Saúde Ambiental,9861,Licenciatura,89,Sim,4,"4,4",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Engenharia Electromecânica,9105,Licenciatura,69,Sim,3,"4,3",2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Artes,603,Público,Universitário,Música,9214,Licenciatura,114,Sim,5,"4,3",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Ciências,1103,Público,Universitário,Bioquímica,9015,Licenciatura,184,Sim,8,"4,3",2009/10_2012/13,DGES
Universidade Católica Portuguesa,2200,Faculdade de Educação e Psicologia,2289,Privado,Universitário,Psicologia,9219,Licenciatura,164,Sim,7,"4,3",2009/10_2012/13,DGEEC
Universidade de Aveiro,300,Escola Superior de Saúde de Aveiro,3013,Público,Politécnico,Enfermagem,9500,Licenciatura,254,Sim,11,"4,3",2009/10_2012/13,DGES
Instituto Politécnico do Porto,3130,Instituto Superior de Engenharia do Porto,3135,Público,Politécnico,Engenharia Electrotécnica e de Computadores,9112,Licenciatura,388,Sim,17,"4,3",2009/10_2012/13,DGES
Escola Superior de Saúde Jean Piaget - Algarve,4102,Escola Superior de Saúde Jean Piaget - Algarve,4102,Privado,Politécnico,Enfermagem,9500,Licenciatura,186,Sim,8,"4,3",2009/10_2012/13,DGEEC
Instituto Superior Autónomo de Estudos Politécnicos,4160,Instituto Superior Autónomo de Estudos Politécnicos,4160,Privado,Politécnico,Engenharia Mecânica,9123,Licenciatura,46,Sim,2,"4,3",2009/10_2012/13,DGEEC
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,"Línguas, Literaturas e Culturas",9204,Licenciatura,95,Sim,4,"4,2",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,3152,Público,Politécnico,"Engenharia de Automação, Controlo e Instrumentação",9092,Licenciatura,47,Sim,2,"4,2",2009/10_2012/13,DGES
Instituto Politécnico de Viseu,3180,Escola Superior de Educação de Viseu,3181,Público,Politécnico,Educação Básica,9853,Licenciatura,166,Sim,7,"4,2",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,903,Público,Universitário,Conservação - Restauro,8036,Licenciatura,72,Sim,3,"4,1",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,1203,Público,Universitário,Engenharia Electrotécnica e de Computadores,9112,Licenciatura,96,Sim,4,"4,1",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Taguspark),1519,Público,Universitário,Engenharia e Gestão Industrial,9104,Licenciatura,195,Sim,8,"4,1",2009/10_2012/13,DGES
Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,3102,Público,Politécnico,Engenharia Automóvel,9741,Licenciatura,143,Sim,6,"4,1",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Ciências Empresariais,3153,Público,Politécnico,Gestão de Sistemas de Informação,9630,Licenciatura,120,Sim,5,"4,1",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,7220,Público,Politécnico,Medicina Nuclear,8151,Licenciatura,97,Sim,4,"4,1",2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Matemática,9209,Licenciatura,50,Sim,2,4,2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Psicologia,9219,Licenciatura,100,Sim,4,4,2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Engenharia Mecânica,9369,Mestrado Integrado,222,Sim,9,4,2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Matemática,9209,Licenciatura,74,Sim,3,4,2009/10_2012/13,DGES
Universidade de Évora,600,Escola de Ciências e Tecnologia,602,Público,Universitário,Engenharia Informática,9119,Licenciatura,74,Sim,3,4,2009/10_2012/13,DGES
Escola Universitária Vasco da Gama,4126,Escola Universitária Vasco da Gama,4126,Privado,Universitário,Medicina Veterinária,9847,Mestrado Integrado,100,Sim,4,4,2009/10_2012/13,DGEEC
Escola Superior de Enfermagem de Coimbra,7001,Escola Superior de Enfermagem de Coimbra,7001,Público,Politécnico,Enfermagem,9500,Licenciatura,1221,Sim,50,4,2009/10_2012/13,DGES
Universidade de Aveiro,300,Universidade de Aveiro,300,Público,Universitário,Educação Básica,9853,Licenciatura,226,Sim,9,"3,9",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,903,Público,Universitário,Engenharia Geológica,9116,Licenciatura,51,Sim,2,"3,9",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Física,9141,Licenciatura,51,Sim,2,"3,9",2009/10_2012/13,DGES
Universidade Autónoma de Lisboa Luís de Camões,2100,Universidade Autónoma de Lisboa Luís de Camões,2100,Privado,Universitário,Engenharia Informática,9119,Licenciatura,153,Sim,6,"3,9",2009/10_2012/13,DGEEC
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Biologia,9011,Licenciatura,310,Sim,12,"3,8",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,903,Público,Universitário,Química Aplicada,9224,Licenciatura,103,Sim,4,"3,8",2009/10_2012/13,DGES
Universidade Aberta,1400,Universidade Aberta,1400,Público,Universitário,Gestão,9147,Licenciatura,341,Sim,13,"3,8",2009/10_2012/13,DGEEC/DGES
Instituto Politécnico de Santarém,3140,Escola Superior Agrária de Santarém,3141,Público,Politécnico,Agronomia,9003,Licenciatura,105,Sim,4,"3,8",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Ciências Biomédicas,9351,Licenciatura,158,Sim,6,"3,7",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Engenharia Biomédica,9359,Mestrado Integrado,158,Sim,6,"3,7",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências Sociais e Humanas,902,Público,Universitário,"Línguas, Literaturas e Culturas",9204,Licenciatura,214,Sim,8,"3,7",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,903,Público,Universitário,Engenharia de Materiais,9363,Mestrado Integrado,54,Sim,2,"3,7",2009/10_2012/13,DGES
Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,7220,Público,Politécnico,Cardiopneumologia,8137,Licenciatura,135,Sim,5,"3,7",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,903,Público,Universitário,Engenharia Civil,9360,Mestrado Integrado,277,Sim,10,"3,6",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia Física Tecnológica,9458,Mestrado Integrado,111,Sim,4,"3,6",2009/10_2012/13,DGES
Universidade Católica Portuguesa,2200,Faculdade de Ciências Económicas e Empresariais,2270,Privado,Universitário,Economia,9081,Licenciatura,139,Sim,5,"3,6",2009/10_2012/13,DGEEC
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Tomar,3242,Público,Politécnico,Engenharia Electrotécnica e de Computadores,9112,Licenciatura,82,Sim,3,"3,6",2009/10_2012/13,DGES
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Tomar,3242,Público,Politécnico,Engenharia Informática,9119,Licenciatura,83,Sim,3,"3,6",2009/10_2012/13,DGES
Escola Superior de Educação Jean Piaget de Almada,4077,Escola Superior de Educação Jean Piaget de Almada,4077,Privado,Politécnico,Educação Básica,9853,Licenciatura,137,Sim,5,"3,6",2009/10_2012/13,DGEEC
Escola Superior de Saúde Ribeiro Sanches,4104,Escola Superior de Saúde Ribeiro Sanches,4104,Privado,Politécnico,Enfermagem,9500,Licenciatura,196,Sim,7,"3,6",2009/10_2012/13,DGEEC
Instituto Superior de Novas Profissões,4150,Instituto Superior de Novas Profissões,4150,Privado,Politécnico,Secretariado (Assessoria de Direcção e Administração),9233,Licenciatura,55,Sim,2,"3,6",2009/10_2012/13,DGEEC
ISCTE - Instituto Universitário de Lisboa,6800,ISCTE - Instituto Universitário de Lisboa,6800,Público,Universitário,Gestão,9147,Licenciatura,791,Sim,29,"3,6",2009/10_2012/13,DGES
Instituto Politécnico de Coimbra,3060,Instituto Superior de Contabilidade e Administração de Coimbra,3063,Público,Politécnico,Informática de Gestão,9186,Licenciatura,85,Sim,3,"3,5",2009/10_2012/13,DGES
Instituto Superior de Estudos Interculturais e Transdisciplinares - Almada,4306,Instituto Superior de Estudos Interculturais e Transdisciplinares - Almada,4306,Privado,Universitário,Motricidade Humana,9780,Licenciatura,113,Sim,4,"3,5",2009/10_2012/13,DGEEC
ISCTE - Instituto Universitário de Lisboa,6800,ISCTE - Instituto Universitário de Lisboa,6800,Público,Universitário,Psicologia,9219,Licenciatura,226,Sim,8,"3,5",2009/10_2012/13,DGES
Universidade da Beira Interior,400,Universidade da Beira Interior,400,Público,Universitário,Psicologia,9219,Licenciatura,147,Sim,5,"3,4",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Engenharia,1105,Público,Universitário,Bioengenharia,9493,Mestrado Integrado,117,Sim,4,"3,4",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Faculdade de Ciências,1503,Público,Universitário,Biologia,9011,Licenciatura,547,Sim,19,"3,4",2009/10_2012/13,DGES
Universidade Europeia,4350,Universidade Europeia,4350,Privado,Universitário,Informática de Gestão,9186,Licenciatura,87,Sim,3,"3,4",2009/10_2012/13,DGEEC
Escola Superior de Hotelaria e Turismo do Estoril,7110,Escola Superior de Hotelaria e Turismo do Estoril,7110,Público,Politécnico,Informação Turística,9183,Licenciatura,117,Sim,4,"3,4",2009/10_2012/13,DGES
Universidade do Porto,1100,Faculdade de Engenharia,1105,Público,Universitário,Engenharia Electrotécnica e de Computadores,9367,Mestrado Integrado,716,Sim,24,"3,3",2009/10_2012/13,DGES
Universidade Autónoma de Lisboa Luís de Camões,2100,Universidade Autónoma de Lisboa Luís de Camões,2100,Privado,Universitário,Informática de Gestão,9186,Licenciatura,30,Sim,1,"3,3",2009/10_2012/13,DGEEC
Universidade do Algarve,200,Escola Superior de Saúde,7035,Público,Politécnico,Ortoprotesia,8152,Licenciatura,59,Sim,2,"3,3",2009/10_2012/13,DGES
Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,501,Público,Universitário,Geologia,9146,Licenciatura,62,Sim,2,"3,2",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia Biomédica,9359,Mestrado Integrado,125,Sim,4,"3,2",2009/10_2012/13,DGES
Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,3152,Público,Politécnico,Engenharia Informática,9119,Licenciatura,125,Sim,4,"3,2",2009/10_2012/13,DGES
Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Tomar,3242,Público,Politécnico,Artes Plásticas - Pintura e Intermédia,9643,Licenciatura,61,Sim,2,"3,2",2009/10_2012/13,DGES
Universidade Nova de Lisboa,900,Faculdade de Ciências Sociais e Humanas,902,Público,Universitário,Ciências Musicais,9046,Licenciatura,94,Sim,3,"3,1",2009/10_2012/13,DGES
Universidade do Minho,1000,Universidade do Minho,1000,Público,Universitário,Engenharia Electrónica Industrial e Computadores,9366,Mestrado Integrado,221,Sim,7,"3,1",2009/10_2012/13,DGES
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências da Vida e do Ambiente,1204,Público,Universitário,Genética e Biotecnologia,9761,Licenciatura,161,Sim,5,"3,1",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia Informática e de Computadores,9121,Licenciatura,439,Sim,14,"3,1",2009/10_2012/13,DGES
Universidade de Lisboa,1500,Instituto Superior Técnico (Alameda),1518,Público,Universitário,Engenharia e Arquitectura Naval,9911,Licenciatura,32,Sim,1,"3,1",2009/10_2012/13,DGES
Universidade Lusíada,2400,Universidade Lusíada,2400,Privado,Universitário,Políticas de Segurança,8058,Licenciatura,64,Sim,2,"3,1",2009/10_2012/13,DGEEC
